 177: #000000, #1503e1, #ea1e15, #f384ff, #ffffff
 178: #000000, #1500e1, #ea1e15, #f384ff, #ffffff
 179: #000000, #1503e1, #ea1e0c, #f384ff, #ffffff
 180: #000000, #1503e1, #ea1e03, #f384ff, #ffffff
 181: #000000, #1503e1, #ea1e00, #f384ff, #ffffff
 182: #000000, #1500e1, #ea1e0c, #f384ff, #ffffff
 183: #000000, #1500e1, #ea1e03, #f384ff, #ffffff
 184: #000000, #1500e1, #ea1e00, #f384ff, #ffffff
 185: #000000, #1503e1, #ea1e1e, #f384ff, #ffffff
 186: #000000, #1500e1, #ea1e1e, #f384ff, #ffffff
 187: #000000, #1503e1, #ea1e27, #f384ff, #ffffff
 188: #000000, #1500e1, #ea1e27, #f384ff, #ffffff
 189: #000000, #1503e1, #e13030, #f384ff, #ffffff
 190: #000000, #1500e1, #e13030, #f384ff, #ffffff
 191: #000000, #1503e1, #ea1539, #f384ff, #ffffff
 192: #000000, #1500e1, #ea1539, #f384ff, #ffffff
 193: #000000, #0c03e1, #7b7b00, #f384ff, #ffffff
 194: #000000, #0c03e1, #7b7b03, #f384ff, #ffffff
 195: #000000, #0c03e1, #7b7b0c, #f384ff, #ffffff
 196: #000000, #0c03e1, #7b7b15, #f384ff, #ffffff
 197: #000000, #0c03e1, #7b7b1e, #f384ff, #ffffff
 198: #000000, #0c03e1, #7b7b27, #f384ff, #ffffff
 199: #000000, #0c03e1, #7b7b30, #f384ff, #ffffff
 200: #000000, #0c03e1, #ea1e15, #f384ff, #ffffff
 201: #000000, #0c03e1, #ea1e0c, #f384ff, #ffffff
 202: #000000, #0c03e1, #ea1e03, #f384ff, #ffffff
 203: #000000, #0c03e1, #ea1e00, #f384ff, #ffffff
 204: #000000, #0c03e1, #ea1e1e, #f384ff, #ffffff
 205: #000000, #0c03e1, #ea1e27, #f384ff, #ffffff
 206: #000000, #0c03e1, #e13030, #f384ff, #ffffff
 207: #000000, #0c03e1, #ea1539, #f384ff, #ffffff
 208: #000000, #1503e1, #ea1542, #f384ff, #ffffff
 209: #000000, #1500e1, #ea1542, #f384ff, #ffffff
 210: #000000, #0c03e1, #ea1542, #f384ff, #ffffff
 211: #000000, #3003d8, #7b7b00, #f384ff, #ffffff
 212: #000000, #3000d8, #7b7b00, #f384ff, #ffffff
 213: #000000, #270cd8, #7b7b00, #f384ff, #ffffff
 214: #000000, #3003d8, #7b7b03, #f384ff, #ffffff
 215: #000000, #3000d8, #7b7b03, #f384ff, #ffffff
 216: #000000, #270cd8, #7b7b03, #f384ff, #ffffff
 217: #000000, #3003d8, #7b7b0c, #f384ff, #ffffff
 218: #000000, #3000d8, #7b7b0c, #f384ff, #ffffff
 219: #000000, #270cd8, #7b7b0c, #f384ff, #ffffff
 220: #000000, #3003d8, #7b7b15, #f384ff, #ffffff
 221: #000000, #3000d8, #7b7b15, #f384ff, #ffffff
 222: #000000, #270cd8, #7b7b15, #f384ff, #ffffff
 223: #000000, #3003d8, #7b7b1e, #f384ff, #ffffff
 224: #000000, #3000d8, #7b7b1e, #f384ff, #ffffff
 225: #000000, #270cd8, #7b7b1e, #f384ff, #ffffff
 226: #000000, #3003d8, #7b7b27, #f384ff, #ffffff
 227: #000000, #3000d8, #7b7b27, #f384ff, #ffffff
 228: #000000, #270cd8, #7b7b27, #f384ff, #ffffff
 229: #000000, #3003d8, #7b7b30, #f384ff, #ffffff
 230: #000000, #3000d8, #7b7b30, #f384ff, #ffffff
 231: #000000, #270cd8, #7b7b30, #f384ff, #ffffff
 232: #000000, #3003d8, #ea1e15, #f384ff, #ffffff
 233: #000000, #3000d8, #ea1e15, #f384ff, #ffffff
 234: #000000, #270cd8, #ea1e15, #f384ff, #ffffff
 235: #000000, #3003d8, #ea1e0c, #f384ff, #ffffff
 236: #000000, #3003d8, #ea1e03, #f384ff, #ffffff
 237: #000000, #3003d8, #ea1e00, #f384ff, #ffffff
 238: #000000, #3000d8, #ea1e0c, #f384ff, #ffffff
 239: #000000, #3000d8, #ea1e03, #f384ff, #ffffff
 240: #000000, #3000d8, #ea1e00, #f384ff, #ffffff
 241: #000000, #270cd8, #ea1e0c, #f384ff, #ffffff
 242: #000000, #270cd8, #ea1e03, #f384ff, #ffffff
 243: #000000, #270cd8, #ea1e00, #f384ff, #ffffff
 244: #000000, #3003d8, #ea1e1e, #f384ff, #ffffff
 245: #000000, #3000d8, #ea1e1e, #f384ff, #ffffff
 246: #000000, #270cd8, #ea1e1e, #f384ff, #ffffff
