 254: #000000, #73038e, #6a7b72, #dca70c, #ffffff
 255: #000000, #73038e, #6a7b72, #dca70b, #ffffff
 256: #000000, #73038e, #6a7b72, #dca70a, #ffffff
 257: #000000, #73038e, #6a7b72, #dca709, #ffffff
 258: #000000, #73038e, #6a7b72, #dca708, #ffffff
 259: #000000, #73038e, #6a7b72, #dca707, #ffffff
 260: #000000, #73038e, #6a7b72, #dca706, #ffffff
 261: #000000, #73038e, #6a7b72, #dca705, #ffffff
 262: #000000, #73038e, #6a7b72, #dca704, #ffffff
 263: #000000, #73038e, #6a7b72, #dca703, #ffffff
 264: #000000, #73038e, #6a7b72, #dca702, #ffffff
 265: #000000, #73038e, #6a7b72, #dca700, #ffffff
 266: #000000, #73028e, #6a7b72, #dca713, #ffffff
 267: #000000, #73028e, #6a7b72, #dca712, #ffffff
 268: #000000, #73028e, #6a7b72, #dca711, #ffffff
 269: #000000, #73028e, #6a7b72, #dca710, #ffffff
 270: #000000, #73028e, #6a7b72, #dca70f, #ffffff
 271: #000000, #73028e, #6a7b72, #dca70e, #ffffff
 272: #000000, #73028e, #6a7b72, #dca70d, #ffffff
 273: #000000, #73028e, #6a7b72, #dca70c, #ffffff
 274: #000000, #73028e, #6a7b72, #dca70b, #ffffff
 275: #000000, #73028e, #6a7b72, #dca70a, #ffffff
 276: #000000, #73028e, #6a7b72, #dca709, #ffffff
 277: #000000, #73028e, #6a7b72, #dca708, #ffffff
 278: #000000, #73028e, #6a7b72, #dca707, #ffffff
 279: #000000, #73028e, #6a7b72, #dca706, #ffffff
 280: #000000, #73028e, #6a7b72, #dca705, #ffffff
 281: #000000, #73028e, #6a7b72, #dca704, #ffffff
 282: #000000, #73028e, #6a7b72, #dca703, #ffffff
 283: #000000, #73028e, #6a7b72, #dca702, #ffffff
 284: #000000, #73028e, #6a7b72, #dca700, #ffffff
 285: #000000, #73048e, #6a7b73, #dca713, #ffffff
 286: #000000, #73048e, #6a7b73, #dca712, #ffffff
 287: #000000, #73048e, #6a7b73, #dca711, #ffffff
 288: #000000, #73048e, #6a7b73, #dca710, #ffffff
 289: #000000, #73048e, #6a7b73, #dca70f, #ffffff
 290: #000000, #73048e, #6a7b73, #dca70e, #ffffff
 291: #000000, #73048e, #6a7b73, #dca70d, #ffffff
 292: #000000, #73048e, #6a7b73, #dca70c, #ffffff
 293: #000000, #73048e, #6a7b73, #dca70b, #ffffff
 294: #000000, #73048e, #6a7b73, #dca70a, #ffffff
 295: #000000, #73048e, #6a7b73, #dca709, #ffffff
 296: #000000, #73048e, #6a7b73, #dca708, #ffffff
 297: #000000, #73048e, #6a7b73, #dca707, #ffffff
 298: #000000, #73048e, #6a7b73, #dca706, #ffffff
 299: #000000, #73048e, #6a7b73, #dca705, #ffffff
