 198: #000000, #0c57ab, #d8841e, #ffffff
 199: #000000, #0357ab, #d8841e, #ffffff
 200: #000000, #0057ab, #d8841e, #ffffff
 201: #000000, #0c57ab, #ff690c, #ffffff
 202: #000000, #0357ab, #ff690c, #ffffff
 203: #000000, #0057ab, #ff690c, #ffffff
 204: #000000, #0c57ab, #ff6903, #ffffff
 205: #000000, #0c57ab, #ff6900, #ffffff
 206: #000000, #0357ab, #ff6903, #ffffff
 207: #000000, #0357ab, #ff6900, #ffffff
 208: #000000, #0057ab, #ff6903, #ffffff
 209: #000000, #0057ab, #ff6900, #ffffff
 210: #000000, #0c57ab, #c68d27, #ffffff
 211: #000000, #0357ab, #c68d27, #ffffff
 212: #000000, #0057ab, #c68d27, #ffffff
 213: #000000, #0c57ab, #ff6915, #ffffff
 214: #000000, #0357ab, #ff6915, #ffffff
 215: #000000, #0057ab, #ff6915, #ffffff
 216: #000000, #0c57ab, #f3721e, #ffffff
 217: #000000, #0357ab, #f3721e, #ffffff
 218: #000000, #0057ab, #f3721e, #ffffff
 219: #000000, #0c57ab, #d88427, #ffffff
 220: #000000, #0357ab, #d88427, #ffffff
 221: #000000, #0057ab, #d88427, #ffffff
 222: #000000, #0c57ab, #ff691e, #ffffff
 223: #000000, #0357ab, #ff691e, #ffffff
 224: #000000, #0057ab, #ff691e, #ffffff
 225: #000000, #6003ff, #c68d30, #ffffff
 226: #000000, #6000ff, #c68d30, #ffffff
 227: #000000, #4227ff, #c68d30, #ffffff
 228: #000000, #5715ff, #c68d30, #ffffff
 229: #000000, #600cfc, #c68d30, #ffffff
 230: #000000, #2730ff, #c68d30, #ffffff
 231: #000000, #541efc, #c68d30, #ffffff
 232: #000000, #3030fc, #c68d30, #ffffff
 233: #000000, #5427f3, #c68d30, #ffffff
 234: #000000, #4230f3, #c68d30, #ffffff
 235: #000000, #2739f3, #c68d30, #ffffff
 236: #000000, #1e39f3, #c68d30, #ffffff
 237: #000000, #3939ea, #c68d30, #ffffff
 238: #000000, #0342ea, #c68d30, #ffffff
 239: #000000, #0042ea, #c68d30, #ffffff
 240: #000000, #2742e1, #c68d30, #ffffff
 241: #000000, #3942d8, #c68d30, #ffffff
 242: #000000, #1e4bcf, #c68d30, #ffffff
 243: #000000, #154bcf, #c68d30, #ffffff
 244: #000000, #1554b4, #c68d30, #ffffff
 245: #000000, #0c54b4, #c68d30, #ffffff
 246: #000000, #0354b4, #c68d30, #ffffff
 247: #000000, #0c57ab, #c68d30, #ffffff
 248: #000000, #0357ab, #c68d30, #ffffff
 249: #000000, #0057ab, #c68d30, #ffffff
 250: #000000, #6003ff, #f37227, #ffffff
 251: #000000, #6000ff, #f37227, #ffffff
 252: #000000, #4227ff, #f37227, #ffffff
 253: #000000, #5715ff, #f37227, #ffffff
 254: #000000, #600cfc, #f37227, #ffffff
 255: #000000, #2730ff, #f37227, #ffffff
 256: #000000, #541efc, #f37227, #ffffff
 257: #000000, #3030fc, #f37227, #ffffff
 258: #000000, #5427f3, #f37227, #ffffff
 259: #000000, #4230f3, #f37227, #ffffff
 260: #000000, #2739f3, #f37227, #ffffff
 261: #000000, #1e39f3, #f37227, #ffffff
 262: #000000, #3939ea, #f37227, #ffffff
 263: #000000, #0342ea, #f37227, #ffffff
 264: #000000, #0042ea, #f37227, #ffffff
 265: #000000, #2742e1, #f37227, #ffffff
 266: #000000, #3942d8, #f37227, #ffffff
 267: #000000, #1e4bcf, #f37227, #ffffff
 268: #000000, #154bcf, #f37227, #ffffff
 269: #000000, #1554b4, #f37227, #ffffff
 270: #000000, #0c54b4, #f37227, #ffffff
 271: #000000, #0354b4, #f37227, #ffffff
 272: #000000, #0c57ab, #f37227, #ffffff
 273: #000000, #0357ab, #f37227, #ffffff
 274: #000000, #0057ab, #f37227, #ffffff
 275: #000000, #4b39e1, #ff6903, #ffffff
 276: #000000, #4b39e1, #ff6900, #ffffff
 277: #000000, #4b39e1, #ff690c, #ffffff
 278: #000000, #4b39e1, #ff6915, #ffffff
 279: #000000, #4b39e1, #ff691e, #ffffff
 280: #000000, #4b39e1, #f3721e, #ffffff
 281: #000000, #4b39e1, #f37227, #ffffff
 282: #000000, #4b39e1, #d8841e, #ffffff
 283: #000000, #4b39e1, #d88427, #ffffff
 284: #000000, #4b39e1, #c68d27, #ffffff
 285: #000000, #4b39e1, #c68d30, #ffffff
 286: #000000, #304bc6, #ff6903, #ffffff
 287: #000000, #304bc6, #ff6900, #ffffff
 288: #000000, #304bc6, #ff690c, #ffffff
 289: #000000, #304bc6, #ff6915, #ffffff
 290: #000000, #304bc6, #ff691e, #ffffff
 291: #000000, #304bc6, #f3721e, #ffffff
 292: #000000, #304bc6, #f37227, #ffffff
 293: #000000, #304bc6, #d8841e, #ffffff
 294: #000000, #304bc6, #d88427, #ffffff
 295: #000000, #304bc6, #c68d27, #ffffff
 296: #000000, #304bc6, #c68d30, #ffffff
 297: #000000, #6003ff, #d88430, #ffffff
 298: #000000, #6000ff, #d88430, #ffffff
 299: #000000, #4227ff, #d88430, #ffffff
 300: #000000, #5715ff, #d88430, #ffffff
 301: #000000, #600cfc, #d88430, #ffffff
 302: #000000, #2730ff, #d88430, #ffffff
 303: #000000, #541efc, #d88430, #ffffff
 304: #000000, #3030fc, #d88430, #ffffff
 305: #000000, #5427f3, #d88430, #ffffff
 306: #000000, #4230f3, #d88430, #ffffff
 307: #000000, #2739f3, #d88430, #ffffff
 308: #000000, #1e39f3, #d88430, #ffffff
 309: #000000, #3939ea, #d88430, #ffffff
 310: #000000, #0342ea, #d88430, #ffffff
 311: #000000, #0042ea, #d88430, #ffffff
 312: #000000, #4b39e1, #d88430, #ffffff
 313: #000000, #2742e1, #d88430, #ffffff
 314: #000000, #3942d8, #d88430, #ffffff
 315: #000000, #1e4bcf, #d88430, #ffffff
 316: #000000, #154bcf, #d88430, #ffffff
 317: #000000, #304bc6, #d88430, #ffffff
 318: #000000, #1554b4, #d88430, #ffffff
 319: #000000, #0c54b4, #d88430, #ffffff
 320: #000000, #0354b4, #d88430, #ffffff
 321: #000000, #0c57ab, #d88430, #ffffff
 322: #000000, #0357ab, #d88430, #ffffff
 323: #000000, #0057ab, #d88430, #ffffff
 324: #000000, #6003ff, #ff6927, #ffffff
 325: #000000, #6000ff, #ff6927, #ffffff
 326: #000000, #4227ff, #ff6927, #ffffff
 327: #000000, #5715ff, #ff6927, #ffffff
 328: #000000, #600cfc, #ff6927, #ffffff
 329: #000000, #2730ff, #ff6927, #ffffff
 330: #000000, #541efc, #ff6927, #ffffff
 331: #000000, #3030fc, #ff6927, #ffffff
 332: #000000, #5427f3, #ff6927, #ffffff
 333: #000000, #4230f3, #ff6927, #ffffff
 334: #000000, #2739f3, #ff6927, #ffffff
 335: #000000, #1e39f3, #ff6927, #ffffff
 336: #000000, #3939ea, #ff6927, #ffffff
 337: #000000, #0342ea, #ff6927, #ffffff
 338: #000000, #0042ea, #ff6927, #ffffff
