 236: #000000, #3032fa, #d5861a, #ffffff
 237: #000000, #2f32fa, #d5861a, #ffffff
 238: #000000, #2e32fa, #d5861a, #ffffff
 239: #000000, #2d33fa, #d5861a, #ffffff
 240: #000000, #2d32fa, #d5861a, #ffffff
 241: #000000, #2c33fa, #d5861a, #ffffff
 242: #000000, #2c32fa, #d5861a, #ffffff
 243: #000000, #3133f9, #d5861a, #ffffff
 244: #000000, #3033f9, #d5861a, #ffffff
 245: #000000, #2d34f9, #d5861a, #ffffff
 246: #000000, #5126f7, #d5861a, #ffffff
 247: #000000, #5027f7, #d5861a, #ffffff
 248: #000000, #5026f7, #d5861a, #ffffff
 249: #000000, #3431f9, #d5861a, #ffffff
 250: #000000, #3430f9, #d5861a, #ffffff
 251: #000000, #3331f9, #d5861a, #ffffff
 252: #000000, #3330f9, #d5861a, #ffffff
 253: #000000, #3231f9, #d5861a, #ffffff
 254: #000000, #3132f9, #d5861a, #ffffff
 255: #000000, #3032f9, #d5861a, #ffffff
 256: #000000, #2f33f9, #d5861a, #ffffff
 257: #000000, #2f32f9, #d5861a, #ffffff
 258: #000000, #2e33f9, #d5861a, #ffffff
 259: #000000, #2e32f9, #d5861a, #ffffff
 260: #000000, #2d33f9, #d5861a, #ffffff
 261: #000000, #2d32f9, #d5861a, #ffffff
 262: #000000, #2c34f9, #d5861a, #ffffff
 263: #000000, #2c33f9, #d5861a, #ffffff
 264: #000000, #2c32f9, #d5861a, #ffffff
 265: #000000, #3133f8, #d5861a, #ffffff
 266: #000000, #3034f8, #d5861a, #ffffff
 267: #000000, #2f34f8, #d5861a, #ffffff
 268: #000000, #2e34f8, #d5861a, #ffffff
 269: #000000, #462cf7, #d5861a, #ffffff
 270: #000000, #452df7, #d5861a, #ffffff
 271: #000000, #452cf7, #d5861a, #ffffff
 272: #000000, #442df7, #d5861a, #ffffff
 273: #000000, #442cf7, #d5861a, #ffffff
 274: #000000, #432ef7, #d5861a, #ffffff
 275: #000000, #432df7, #d5861a, #ffffff
 276: #000000, #422ef7, #d5861a, #ffffff
 277: #000000, #412ef7, #d5861a, #ffffff
 278: #000000, #402ff7, #d5861a, #ffffff
 279: #000000, #3e30f7, #d5861a, #ffffff
 280: #000000, #5027f6, #d5861a, #ffffff
 281: #000000, #3431f8, #d5861a, #ffffff
 282: #000000, #3331f8, #d5861a, #ffffff
 283: #000000, #3231f8, #d5861a, #ffffff
 284: #000000, #3132f8, #d5861a, #ffffff
 285: #000000, #3033f8, #d5861a, #ffffff
 286: #000000, #3032f8, #d5861a, #ffffff
 287: #000000, #2f33f8, #d5861a, #ffffff
 288: #000000, #2f32f8, #d5861a, #ffffff
 289: #000000, #2e33f8, #d5861a, #ffffff
 290: #000000, #2d34f8, #d5861a, #ffffff
 291: #000000, #2d33f8, #d5861a, #ffffff
 292: #000000, #2c34f8, #d5861a, #ffffff
 293: #000000, #2c33f8, #d5861a, #ffffff
 294: #000000, #432cf7, #d5861a, #ffffff
 295: #000000, #422df7, #d5861a, #ffffff
 296: #000000, #422cf7, #d5861a, #ffffff
