 191: #000000, #1542e4, #de8100, #ffffff
 192: #000000, #0045e4, #de8100, #ffffff
 193: #000000, #2a42e1, #de8100, #ffffff
 194: #000000, #2742e1, #de8100, #ffffff
 195: #000000, #2442e1, #de8100, #ffffff
 196: #000000, #1545e1, #de8100, #ffffff
 197: #000000, #1245e1, #de8100, #ffffff
 198: #000000, #2142e1, #de8100, #ffffff
 199: #000000, #0f45e1, #de8100, #ffffff
 200: #000000, #0c45e1, #de8100, #ffffff
 201: #000000, #0945e1, #de8100, #ffffff
 202: #000000, #0645e1, #de8100, #ffffff
 203: #000000, #0345e1, #de8100, #ffffff
 204: #000000, #0045e1, #de8100, #ffffff
 205: #000000, #2145de, #de8100, #ffffff
 206: #000000, #1e45de, #de8100, #ffffff
 207: #000000, #1b45de, #de8100, #ffffff
 208: #000000, #1845de, #de8100, #ffffff
 209: #000000, #1545de, #de8100, #ffffff
 210: #000000, #1245de, #de8100, #ffffff
 211: #000000, #2a45db, #de8100, #ffffff
 212: #000000, #2745db, #de8100, #ffffff
 213: #000000, #2445db, #de8100, #ffffff
 214: #000000, #2145db, #de8100, #ffffff
 215: #000000, #1e45db, #de8100, #ffffff
 216: #000000, #0f48db, #de8100, #ffffff
 217: #000000, #0c48db, #de8100, #ffffff
 218: #000000, #0948db, #de8100, #ffffff
 219: #000000, #0648db, #de8100, #ffffff
 220: #000000, #0348db, #de8100, #ffffff
 221: #000000, #0048db, #de8100, #ffffff
 222: #000000, #1e48d8, #de8100, #ffffff
 223: #000000, #1b48d8, #de8100, #ffffff
 224: #000000, #1848d8, #de8100, #ffffff
 225: #000000, #1548d8, #de8100, #ffffff
 226: #000000, #1248d8, #de8100, #ffffff
 227: #000000, #0f48d8, #de8100, #ffffff
 228: #000000, #0c48d8, #de8100, #ffffff
 229: #000000, #0948d8, #de8100, #ffffff
 230: #000000, #1e48d5, #de8100, #ffffff
 231: #000000, #1b48d5, #de8100, #ffffff
 232: #000000, #034bd5, #de8100, #ffffff
 233: #000000, #004bd5, #de8100, #ffffff
 234: #000000, #154bd2, #de8100, #ffffff
 235: #000000, #124bd2, #de8100, #ffffff
