 412: #000000, #4f20fd, #d68600, #ffffff
 413: #000000, #4f20fd, #d58600, #ffffff
 414: #000000, #4e22fd, #d68600, #ffffff
 415: #000000, #4e22fd, #d58600, #ffffff
 416: #000000, #4e21fd, #d68600, #ffffff
 417: #000000, #4e21fd, #d58600, #ffffff
 418: #000000, #4e20fd, #d68600, #ffffff
 419: #000000, #4e20fd, #d58600, #ffffff
 420: #000000, #4d22fd, #d68600, #ffffff
 421: #000000, #4d22fd, #d58600, #ffffff
 422: #000000, #4d21fd, #d68600, #ffffff
 423: #000000, #4d21fd, #d58600, #ffffff
 424: #000000, #4c24fc, #d68600, #ffffff
 425: #000000, #4c24fc, #d58600, #ffffff
 426: #000000, #4c23fd, #d68600, #ffffff
 427: #000000, #4c23fd, #d58600, #ffffff
 428: #000000, #4c23fc, #d68600, #ffffff
 429: #000000, #4c23fc, #d58600, #ffffff
 430: #000000, #4b25fc, #d68600, #ffffff
 431: #000000, #4b25fc, #d58600, #ffffff
 432: #000000, #4b24fd, #d68600, #ffffff
 433: #000000, #4b24fd, #d58600, #ffffff
 434: #000000, #4b24fc, #d68600, #ffffff
 435: #000000, #4b24fc, #d58600, #ffffff
 436: #000000, #4b23fd, #d68600, #ffffff
 437: #000000, #4b23fd, #d58600, #ffffff
 438: #000000, #4a25fc, #d68600, #ffffff
 439: #000000, #4a25fc, #d58600, #ffffff
 440: #000000, #4a24fd, #d68600, #ffffff
 441: #000000, #4a24fd, #d58600, #ffffff
 442: #000000, #4a24fc, #d68600, #ffffff
 443: #000000, #4a24fc, #d58600, #ffffff
 444: #000000, #4926fc, #d68600, #ffffff
 445: #000000, #4926fc, #d58600, #ffffff
 446: #000000, #4925fc, #d68600, #ffffff
 447: #000000, #4925fc, #d58600, #ffffff
 448: #000000, #4827fc, #d68600, #ffffff
 449: #000000, #4827fc, #d58600, #ffffff
 450: #000000, #4826fc, #d68600, #ffffff
 451: #000000, #4826fc, #d58600, #ffffff
 452: #000000, #4727fc, #d68600, #ffffff
 453: #000000, #4727fc, #d58600, #ffffff
 454: #000000, #4628fc, #d68600, #ffffff
