 248: #000000, #0354b7, #d5871b, #ffffff
 249: #000000, #541ef9, #d8841b, #ffffff
 250: #000000, #541ef9, #d8841e, #ffffff
 251: #000000, #541ef9, #d5871b, #ffffff
 252: #000000, #5a12ff, #d88421, #ffffff
 253: #000000, #4227ff, #d88421, #ffffff
 254: #000000, #5715ff, #d88421, #ffffff
 255: #000000, #5712ff, #d88421, #ffffff
 256: #000000, #3f27ff, #d88421, #ffffff
 257: #000000, #2a30ff, #d88421, #ffffff
 258: #000000, #4524ff, #d88421, #ffffff
 259: #000000, #2730ff, #d88421, #ffffff
 260: #000000, #2430ff, #d88421, #ffffff
 261: #000000, #541efc, #d88421, #ffffff
 262: #000000, #5121fc, #d88421, #ffffff
 263: #000000, #3330fc, #d88421, #ffffff
 264: #000000, #541bfc, #d88421, #ffffff
 265: #000000, #511efc, #d88421, #ffffff
 266: #000000, #3030fc, #d88421, #ffffff
 267: #000000, #2d30fc, #d88421, #ffffff
 268: #000000, #5421f9, #d88421, #ffffff
 269: #000000, #541ef9, #d88421, #ffffff
 270: #000000, #5121f9, #d88421, #ffffff
 271: #000000, #3033f9, #d88421, #ffffff
 272: #000000, #3330f9, #d88421, #ffffff
 273: #000000, #2d33f9, #d88421, #ffffff
 274: #000000, #5127f6, #d88421, #ffffff
 275: #000000, #5124f6, #d88421, #ffffff
 276: #000000, #452df6, #d88421, #ffffff
 277: #000000, #3f30f6, #d88421, #ffffff
 278: #000000, #422df6, #d88421, #ffffff
 279: #000000, #2a36f6, #d88421, #ffffff
 280: #000000, #2736f6, #d88421, #ffffff
 281: #000000, #2436f6, #d88421, #ffffff
 282: #000000, #1e39f6, #d88421, #ffffff
 283: #000000, #1b39f6, #d88421, #ffffff
 284: #000000, #4530f3, #d88421, #ffffff
 285: #000000, #4230f3, #d88421, #ffffff
 286: #000000, #2739f3, #d88421, #ffffff
 287: #000000, #2439f3, #d88421, #ffffff
 288: #000000, #2139f3, #d88421, #ffffff
 289: #000000, #1e39f3, #d88421, #ffffff
 290: #000000, #4530f0, #d88421, #ffffff
 291: #000000, #4233f0, #d88421, #ffffff
 292: #000000, #3f33f0, #d88421, #ffffff
 293: #000000, #2a39f0, #d88421, #ffffff
 294: #000000, #213cf0, #d88421, #ffffff
 295: #000000, #1e3cf0, #d88421, #ffffff
 296: #000000, #2739f0, #d88421, #ffffff
 297: #000000, #1b3cf0, #d88421, #ffffff
 298: #000000, #3c36ed, #d88421, #ffffff
 299: #000000, #3639ed, #d88421, #ffffff
 300: #000000, #063fed, #d88421, #ffffff
 301: #000000, #033fed, #d88421, #ffffff
 302: #000000, #003fed, #d88421, #ffffff
 303: #000000, #3c39ea, #d88421, #ffffff
 304: #000000, #3939ea, #d88421, #ffffff
 305: #000000, #3639ea, #d88421, #ffffff
 306: #000000, #0342ea, #d88421, #ffffff
 307: #000000, #0042ea, #d88421, #ffffff
 308: #000000, #393ce7, #d88421, #ffffff
 309: #000000, #3c39e7, #d88421, #ffffff
 310: #000000, #363ce7, #d88421, #ffffff
 311: #000000, #0642e7, #d88421, #ffffff
 312: #000000, #0342e7, #d88421, #ffffff
 313: #000000, #0042e7, #d88421, #ffffff
 314: #000000, #2442e4, #d88421, #ffffff
 315: #000000, #2a3fe4, #d88421, #ffffff
 316: #000000, #2a42e1, #d88421, #ffffff
 317: #000000, #2742e1, #d88421, #ffffff
 318: #000000, #2442e1, #d88421, #ffffff
 319: #000000, #2a42de, #d88421, #ffffff
 320: #000000, #3642db, #d88421, #ffffff
 321: #000000, #154bd2, #d88421, #ffffff
 322: #000000, #124bd2, #d88421, #ffffff
 323: #000000, #214bcf, #d88421, #ffffff
 324: #000000, #1e4bcf, #d88421, #ffffff
 325: #000000, #1b4bcf, #d88421, #ffffff
 326: #000000, #184bcf, #d88421, #ffffff
 327: #000000, #154bcf, #d88421, #ffffff
 328: #000000, #124bcf, #d88421, #ffffff
 329: #000000, #214bcc, #d88421, #ffffff
 330: #000000, #1e4bcc, #d88421, #ffffff
 331: #000000, #0f54b7, #d88421, #ffffff
 332: #000000, #0c54b7, #d88421, #ffffff
 333: #000000, #0954b7, #d88421, #ffffff
 334: #000000, #0654b7, #d88421, #ffffff
 335: #000000, #0354b7, #d88421, #ffffff
 336: #000000, #6006ff, #d8841b, #ffffff
 337: #000000, #5d06ff, #d8841b, #ffffff
 338: #000000, #6006ff, #d88421, #ffffff
 339: #000000, #6006ff, #d8841e, #ffffff
 340: #000000, #5d06ff, #d88421, #ffffff
 341: #000000, #5d06ff, #d8841e, #ffffff
 342: #000000, #6006ff, #d5871b, #ffffff
 343: #000000, #5d06ff, #d5871b, #ffffff
 344: #000000, #6006ff, #ff6912, #ffffff
 345: #000000, #6006ff, #ff690f, #ffffff
 346: #000000, #6006ff, #ff690c, #ffffff
 347: #000000, #5d06ff, #ff6912, #ffffff
 348: #000000, #5d06ff, #ff690f, #ffffff
 349: #000000, #5d06ff, #ff690c, #ffffff
 350: #000000, #5a12ff, #ff6912, #ffffff
 351: #000000, #5a12ff, #ff690f, #ffffff
 352: #000000, #5a12ff, #ff690c, #ffffff
 353: #000000, #4227ff, #ff6912, #ffffff
 354: #000000, #4227ff, #ff690f, #ffffff
 355: #000000, #4227ff, #ff690c, #ffffff
 356: #000000, #5715ff, #ff6912, #ffffff
 357: #000000, #5715ff, #ff690f, #ffffff
 358: #000000, #5715ff, #ff690c, #ffffff
 359: #000000, #5712ff, #ff6912, #ffffff
 360: #000000, #5712ff, #ff690f, #ffffff
 361: #000000, #5712ff, #ff690c, #ffffff
