diff #125 at coord 29,3244: (173, 173, 173) != (174, 174, 174)
diff #126 at coord 29,3742: (202, 202, 202) != (203, 203, 203)
diff #127 at coord 29,3758: (202, 202, 202) != (203, 203, 203)
diff #128 at coord 29,3774: (202, 202, 202) != (203, 203, 203)
diff #129 at coord 29,3790: (202, 202, 202) != (203, 203, 203)
diff #130 at coord 30,3726: (202, 202, 202) != (203, 203, 203)
diff #131 at coord 30,3742: (202, 202, 202) != (203, 203, 203)
diff #132 at coord 30,3758: (202, 202, 202) != (203, 203, 203)
diff #133 at coord 30,3774: (202, 202, 202) != (203, 203, 203)
diff #134 at coord 30,3790: (202, 202, 202) != (203, 203, 203)
diff #135 at coord 31,3726: (202, 202, 202) != (203, 203, 203)
diff #136 at coord 31,3742: (202, 202, 202) != (203, 203, 203)
diff #137 at coord 31,3758: (202, 202, 202) != (203, 203, 203)
diff #138 at coord 31,3774: (202, 202, 202) != (203, 203, 203)
diff #139 at coord 31,3790: (202, 202, 202) != (203, 203, 203)
diff #140 at coord 32,3726: (202, 202, 202) != (203, 203, 203)
diff #141 at coord 32,3742: (202, 202, 202) != (203, 203, 203)
diff #142 at coord 32,3758: (202, 202, 202) != (203, 203, 203)
diff #143 at coord 32,3774: (202, 202, 202) != (203, 203, 203)
diff #144 at coord 32,3790: (202, 202, 202) != (203, 203, 203)
diff #145 at coord 36,2409: (130, 130, 130) != (131, 131, 131)
diff #146 at coord 36,2425: (130, 130, 130) != (131, 131, 131)
diff #147 at coord 38,2955: (159, 159, 159) != (160, 160, 160)
diff #148 at coord 38,2971: (159, 159, 159) != (160, 160, 160)
diff #149 at coord 38,2987: (159, 159, 159) != (160, 160, 160)
diff #150 at coord 39,2955: (159, 159, 159) != (160, 160, 160)
diff #151 at coord 39,2971: (159, 159, 159) != (160, 160, 160)
diff #152 at coord 39,2987: (159, 159, 159) != (160, 160, 160)
diff #153 at coord 39,3501: (188, 188, 188) != (189, 189, 189)
diff #154 at coord 39,3517: (188, 188, 188) != (189, 189, 189)
diff #155 at coord 39,3533: (188, 188, 188) != (189, 189, 189)
diff #156 at coord 39,3549: (188, 188, 188) != (189, 189, 189)
diff #157 at coord 40,2939: (159, 159, 159) != (160, 160, 160)
diff #158 at coord 40,2955: (159, 159, 159) != (160, 160, 160)
diff #159 at coord 40,2971: (159, 159, 159) != (160, 160, 160)
diff #160 at coord 40,3501: (188, 188, 188) != (189, 189, 189)
diff #161 at coord 40,3517: (188, 188, 188) != (189, 189, 189)
diff #162 at coord 40,3533: (188, 188, 188) != (189, 189, 189)
diff #163 at coord 40,3549: (188, 188, 188) != (189, 189, 189)
diff #164 at coord 41,2939: (159, 159, 159) != (160, 160, 160)
diff #165 at coord 41,2955: (159, 159, 159) != (160, 160, 160)
diff #166 at coord 41,2971: (159, 159, 159) != (160, 160, 160)
diff #167 at coord 41,3501: (188, 188, 188) != (189, 189, 189)
diff #168 at coord 41,3517: (188, 188, 188) != (189, 189, 189)
diff #169 at coord 41,3533: (188, 188, 188) != (189, 189, 189)
diff #170 at coord 41,3549: (188, 188, 188) != (189, 189, 189)
diff #171 at coord 42,3485: (188, 188, 188) != (189, 189, 189)
diff #172 at coord 42,3501: (188, 188, 188) != (189, 189, 189)
diff #173 at coord 42,3517: (188, 188, 188) != (189, 189, 189)
diff #174 at coord 42,3533: (188, 188, 188) != (189, 189, 189)
diff #175 at coord 42,4031: (217, 217, 217) != (218, 218, 218)
diff #176 at coord 42,4047: (217, 217, 217) != (218, 218, 218)
diff #177 at coord 42,4063: (217, 217, 217) != (218, 218, 218)
diff #178 at coord 42,4079: (217, 217, 217) != (218, 218, 218)
diff #179 at coord 42,4095: (217, 217, 217) != (218, 218, 218)
diff #180 at coord 43,3485: (188, 188, 188) != (189, 189, 189)
diff #181 at coord 43,3501: (188, 188, 188) != (189, 189, 189)
diff #182 at coord 43,3517: (188, 188, 188) != (189, 189, 189)
diff #183 at coord 43,3533: (188, 188, 188) != (189, 189, 189)
diff #184 at coord 43,4031: (217, 217, 217) != (218, 218, 218)
diff #185 at coord 43,4047: (217, 217, 217) != (218, 218, 218)
diff #186 at coord 43,4063: (217, 217, 217) != (218, 218, 218)
diff #187 at coord 43,4079: (217, 217, 217) != (218, 218, 218)
diff #188 at coord 43,4095: (217, 217, 217) != (218, 218, 218)
diff #189 at coord 44,3469: (188, 188, 188) != (189, 189, 189)
diff #190 at coord 44,3485: (188, 188, 188) != (189, 189, 189)
diff #191 at coord 44,3501: (188, 188, 188) != (189, 189, 189)
diff #192 at coord 44,3517: (188, 188, 188) != (189, 189, 189)
diff #193 at coord 44,3533: (188, 188, 188) != (189, 189, 189)
diff #194 at coord 44,4031: (217, 217, 217) != (218, 218, 218)
diff #195 at coord 44,4047: (217, 217, 217) != (218, 218, 218)
diff #196 at coord 44,4063: (217, 217, 217) != (218, 218, 218)
diff #197 at coord 44,4079: (217, 217, 217) != (218, 218, 218)
diff #198 at coord 44,4095: (217, 217, 217) != (218, 218, 218)
diff #199 at coord 45,3469: (188, 188, 188) != (189, 189, 189)
diff #200 at coord 45,3485: (188, 188, 188) != (189, 189, 189)
diff #201 at coord 45,3501: (188, 188, 188) != (189, 189, 189)
diff #202 at coord 45,3517: (188, 188, 188) != (189, 189, 189)
diff #203 at coord 45,4015: (217, 217, 217) != (218, 218, 218)
diff #204 at coord 45,4031: (217, 217, 217) != (218, 218, 218)
diff #205 at coord 45,4047: (217, 217, 217) != (218, 218, 218)
diff #206 at coord 45,4063: (217, 217, 217) != (218, 218, 218)
diff #207 at coord 45,4079: (217, 217, 217) != (218, 218, 218)
diff #208 at coord 45,4095: (217, 217, 217) != (218, 218, 218)
diff #209 at coord 46,3453: (188, 188, 188) != (189, 189, 189)
diff #210 at coord 46,3469: (188, 188, 188) != (189, 189, 189)
diff #211 at coord 46,3485: (188, 188, 188) != (189, 189, 189)
diff #212 at coord 46,3501: (188, 188, 188) != (189, 189, 189)
diff #213 at coord 46,3517: (188, 188, 188) != (189, 189, 189)
diff #214 at coord 46,4015: (217, 217, 217) != (218, 218, 218)
diff #215 at coord 46,4031: (217, 217, 217) != (218, 218, 218)
diff #216 at coord 46,4047: (217, 217, 217) != (218, 218, 218)
diff #217 at coord 46,4063: (217, 217, 217) != (218, 218, 218)
diff #218 at coord 46,4079: (217, 217, 217) != (218, 218, 218)
diff #219 at coord 47,2682: (145, 145, 145) != (146, 146, 146)
diff #220 at coord 47,2698: (145, 145, 145) != (146, 146, 146)
diff #221 at coord 47,3453: (188, 188, 188) != (189, 189, 189)
diff #222 at coord 47,3469: (188, 188, 188) != (189, 189, 189)
diff #223 at coord 47,3485: (188, 188, 188) != (189, 189, 189)
diff #224 at coord 47,3501: (188, 188, 188) != (189, 189, 189)
diff #225 at coord 47,4015: (217, 217, 217) != (218, 218, 218)
diff #226 at coord 47,4031: (217, 217, 217) != (218, 218, 218)
diff #227 at coord 47,4047: (217, 217, 217) != (218, 218, 218)
diff #228 at coord 47,4063: (217, 217, 217) != (218, 218, 218)
diff #229 at coord 47,4079: (217, 217, 217) != (218, 218, 218)
diff #230 at coord 48,2682: (145, 145, 145) != (146, 146, 146)
diff #231 at coord 48,2698: (145, 145, 145) != (146, 146, 146)
diff #232 at coord 48,3453: (188, 188, 188) != (189, 189, 189)
diff #233 at coord 48,3469: (188, 188, 188) != (189, 189, 189)
diff #234 at coord 48,3485: (188, 188, 188) != (189, 189, 189)
diff #235 at coord 48,3501: (188, 188, 188) != (189, 189, 189)
diff #236 at coord 48,3999: (217, 217, 217) != (218, 218, 218)
diff #237 at coord 48,4015: (217, 217, 217) != (218, 218, 218)
diff #238 at coord 48,4031: (217, 217, 217) != (218, 218, 218)
diff #239 at coord 48,4047: (217, 217, 217) != (218, 218, 218)
diff #240 at coord 48,4063: (217, 217, 217) != (218, 218, 218)
diff #241 at coord 48,4079: (217, 217, 217) != (218, 218, 218)
diff #242 at coord 49,3999: (217, 217, 217) != (218, 218, 218)
diff #243 at coord 49,4015: (217, 217, 217) != (218, 218, 218)
diff #244 at coord 49,4031: (217, 217, 217) != (218, 218, 218)
diff #245 at coord 49,4047: (217, 217, 217) != (218, 218, 218)
diff #246 at coord 49,4063: (217, 217, 217) != (218, 218, 218)
diff #247 at coord 50,3983: (217, 217, 217) != (218, 218, 218)
diff #248 at coord 50,3999: (217, 217, 217) != (218, 218, 218)
diff #249 at coord 50,4015: (217, 217, 217) != (218, 218, 218)
diff #250 at coord 50,4031: (217, 217, 217) != (218, 218, 218)
diff #251 at coord 50,4047: (217, 217, 217) != (218, 218, 218)
diff #252 at coord 50,4063: (217, 217, 217) != (218, 218, 218)
