 404: #000000, #c319ef, #ffffff
 405: #000000, #c318ef, #ffffff
 406: #000000, #c315f0, #ffffff
 407: #000000, #c314f0, #ffffff
 408: #000000, #bb32e1, #ffffff
 409: #000000, #c801f0, #ffffff
 410: #000000, #c800f0, #ffffff
 411: #000000, #c806ed, #ffffff
 412: #000000, #c805ed, #ffffff
 413: #000000, #c804ed, #ffffff
 414: #000000, #c803ed, #ffffff
 415: #000000, #c70eed, #ffffff
 416: #000000, #c70ded, #ffffff
 417: #000000, #c70ced, #ffffff
 418: #000000, #c613ed, #ffffff
 419: #000000, #bf1af3, #ffffff
 420: #000000, #c41aed, #ffffff
 421: #000000, #c419ed, #ffffff
 422: #000000, #c418ed, #ffffff
 423: #000000, #c417ee, #ffffff
 424: #000000, #c416ee, #ffffff
 425: #000000, #c415ee, #ffffff
 426: #000000, #c213f3, #ffffff
 427: #000000, #c212f3, #ffffff
 428: #000000, #c211f3, #ffffff
 429: #000000, #c210f3, #ffffff
 430: #000000, #c20ff4, #ffffff
 431: #000000, #c20ff3, #ffffff
 432: #000000, #c20ef4, #ffffff
 433: #000000, #c20df4, #ffffff
 434: #000000, #c112f5, #ffffff
 435: #000000, #c111f5, #ffffff
 436: #000000, #c317f0, #ffffff
 437: #000000, #c316f0, #ffffff
 438: #000000, #c315f1, #ffffff
 439: #000000, #c314f1, #ffffff
 440: #000000, #c313f1, #ffffff
 441: #000000, #c312f2, #ffffff
 442: #000000, #c312f1, #ffffff
 443: #000000, #c311f2, #ffffff
 444: #000000, #c311f1, #ffffff
 445: #000000, #c310f2, #ffffff
 446: #000000, #c30ff2, #ffffff
 447: #000000, #c30ef2, #ffffff
 448: #000000, #c30df2, #ffffff
 449: #000000, #c124e6, #ffffff
 450: #000000, #c708ec, #ffffff
 451: #000000, #c707ec, #ffffff
 452: #000000, #c706ec, #ffffff
 453: #000000, #c705ec, #ffffff
 454: #000000, #c610ec, #ffffff
 455: #000000, #c60fec, #ffffff
 456: #000000, #c60eec, #ffffff
 457: #000000, #c515ec, #ffffff
